name,time,post,year,location,Person 1,Person 2,עמודה1
Eli Lachmani,01/04/2018 16:59,"קריאה לאיחוד השורות.  לעיתים במלחמות מפסידים לא בגלל חולשת היריב אלא בגלל חולשת המחנה כשהשורות לא מאוחדות.   והתוצאה: היריב שעמד להפסיד מקבל במתנה את השלטון.  עצוב וחבל שבתקופה כול כך חשובה וקריטית לעיר שהמלחמה היא על הבית, על כך שאשדוד תשאר עיר מודרנית רב גונית וחופשיה ולא עיר חשוכה וסגורה הנכנעת לעסקנים החרדים הקיצוניים והופכת לבית שמש או בני ברק, מלחמות אגו אישיות מובילות את הבחירות ומועמדים מוכנים לסכן את הסיכוי להצלת העיר מהשלטון הרע הקיים, לרוץ בפיצול כוחות ולהלחם  אחד בשני.  גם כיום עדין לא מאוחר וצריכה לצאת קריאה מהציבור בכלל והתומכים בפרט, לכול מי שהצהיר על  רצונו להתמודד לראשות העיר, לאחד את השורות ולצאת למאבק להחלפת השלטון יחד תוך בחירת המנהיג בדרך של סקרים חיצוניים ולאחר קביעת זהותו, כולם יעמדו מאוחדים אחריו. כי המטרה היא החשובה !!!!!!!! הלוואי שיתעוררו שכן אין הזדמנות שניה.  כוחנו הוא באחדותינו.",2018,Ashdod,TRUE,TRUE,
Eli Lachmani,08/03/2018 18:00,"לסרי וה""אמת"" שלו.  לסרי דאג לפרסם קודם ישיבת המועצה מה 7/3/18 שהוא הולך להודיעה הודעה דרמטית.  כולנו נדרכנו .חשבנו שאולי הוא יחליט שהגיע למסקנה המתבקשת שעליו ללכת הביתה. אבל לא. לסרי החליט לספר מעשיות ולהאשים את האופוזיציה במחדליו. לסרי סיפר לנו כי הוא לא רצה לאכוף את החוק אלא בית משפט חייב אותו . האמנם?!!!! כשאלתיו לעצם העובדה שההחלטה של ביהמ""ש הייתה לפני שנתיים  אז למה הוא נזכר רק בחודשים האחרונים להטיל קנסות.גימגם והתירוץ  הדחוק של לסרי היה ש""היינו צריכים ללמוד את פס""ד וגם מכיוון שחוקק חוק המרכולים. לסרי רק שוכח שהוא החל את המהלך קודם חקיקת החוק ולא קשור אליו. לסרי בנסיון לזרות חול בעיננו לא מספר את האמת שהחרדים חייבו אותו לפעול ולסגור באשדוד את השבת. באם לסרי טוען  כי בית המשפט חייב אותו להטיל קנסות אז מה קרה שהוא מחליט  להפסיק ? הוא כבר לא כפוף להחלטת ביהמש? או אולי ביהמש שינה את קביעתו? לא.!!!!!מה שהיה  זה שלסרי והחרדים נבהלו מעוצמת המחאה ולכן לא נותרה להם ברירה אלא לרדת מהעץ במהלך רמייה  של ""נשתיק את הרעש"" ולאחר הבחירות נחזור במלוא העוצמה לסגור את השבת. התוצאה סך הכול ברוכה אבל באם אין כוונות סמויות לחזור ולאכוף בעוצמה אחרי הבחירות מדוע התנגדו חברים לשינוי חוק העזר כך שהחלטה לפתיחה תהייה בחוק ולא תלויה בראש עיר?  לסרי משקר ואומר שאופוזיציה היא שגרמה למהומות.לא יעזור לו השקר הזה. אף הפגנה  לא הובלה על ידי איש פוליטי אלא על ידי הציבור שנמאס לו.הציבור הוא שצעק שנמאס לו!!! ללסרי נוח להסית נגד האופזיציה ולטעון שהיא גרמה להתססה ,אך הציבור חכם ממנו ומבין שהוא היחיד הנושא באשמה  של פתיחת מלחמת הדת  בעיר.  אני מאמין שהציבור הציוני בעיר מבין את גודל האסון לבחירתו המחודשת  והפעם יגיע וישפיע וימנע את מה שאמר סגן ראש העיר החדש משס בישבת המועצה האחרונה:""אנחנו החרדים בקדנציה הבאה  נוסיף עוד 3 נציגים חרדים כחברי מועצה."" באם אנחנו חרדים לחופש הפולחן ולזכות של כול אדם באשר הוא לחיות את חייו כפי ראות עיניו כאזרח חופשי במדינה דמוקרטית יש להגיע להצביע ולהשפיע. מקווה שבכוח האיחוד של הציבור הציוני גם נצליח.",2018,Ashdod,TRUE,TRUE,
Eli Lachmani,27/04/2018 11:10,"להלחם על הפארק ברובע טו'. המלחמה במועצת העיר  ובקבוצות בוואצ-אפ אינה מספיקה.על מנת ליצר מומנטום  לענין הפארק ולהוכיח ללסרי ולחבריו כי הפארק חיוני לתושבים יש לקיים פעילות יזומה של תושבי הרובע בפארק באופן אינטנסיבי ומתוקשר לדוגמא קיום  פעילות משחקים לילדי השכונה בשעות אחה""צ ,שילוב של פעילות תנועות נוער בפארק,קיום מפגשים של התושבים בפארק.בכול הפעילויות להדגיש את הרצון של העיריה לקחת את אותו מקום לבילוי פנאי שהוא חיוני לשכונה. בדרך זו תעלה המודעות לצורך בפארק גם בקרב התושבים שעד היום טרם נרתמו למאבק וגם יסייע בקרב מול העירייה בעין הציבורית ובבית המשפט.",2018,Ashdod,FALSE,FALSE,
Eli Lachmani,24/04/2018 20:23,"ושוב בזכות  לסרי גיטרמן והחרדים גוזלים לנו כ 40% מפארק בן גוריון.בכיה לדורות. והציבור נאלם דום?!!!!! באותה נשימה מכשירים אותם גורמים תוספות בניה עד 160 מ""ר לדירה+מרפסת והכשרת חנויות בקומת הקרקע וזאת  אך ורק  ברובע ז'.בדרך זאת נוספים לרובע כ150,000 מ""ר כמתנת בחירות. אין דין ואין דיין בעיר. עצוב לאן העיר הולכת.",2018,Ashdod,TRUE,TRUE,
Eli Lachmani,23/04/2018 16:58,"המלחמה על הפארק.  מחר(יום שלישי) ב 1800 תתקיים ישיבה במליאת בניין העיר  בקומה 5 ,ישיבה  בנושא בניה על פארק בן גוריון בעקבות דרישתי להעלות את הנושא בעקבות ההחלטה האומללה  שהתקבלה בועדת המשנה. על אף שישיבות אלו  אינם פתוחות לקהל ,חשוב שהציבור יגיע להשמיע את קולו להפגין בחוץ  ולשכנע את חברי המועצה שלא לפגוע בשטח הירוק בעיר שגם כך קטן מאוד בעיר. ראש העיר לסרי וחבריו מנסים לזרות חול בעיני התושבים בכך שטוענים שזה עבור זוגות צעירים.בלוף כמו כול השקרים האחרים.אין קשר בין הבניה בפארק לזוגות צעירים.יש מספיק שטחים בעיר שניתן לבנות עליהם מבלי לפגוע בריאות הירוקות החשובות לנו עד מאוד לאיכות חיינו. בואו להשפיע!!!!",2018,Ashdod,TRUE,TRUE,
Eli Lachmani,01/04/2018 16:59,"קריאה לאיחוד השורות.  לעיתים במלחמות מפסידים לא בגלל חולשת היריב אלא בגלל חולשת המחנה כשהשורות לא מאוחדות.   והתוצאה: היריב שעמד להפסיד מקבל במתנה את השלטון.  עצוב וחבל שבתקופה כול כך חשובה וקריטית לעיר שהמלחמה היא על הבית, על כך שאשדוד תשאר עיר מודרנית רב גונית וחופשיה ולא עיר חשוכה וסגורה הנכנעת לעסקנים החרדים הקיצוניים והופכת לבית שמש או בני ברק, מלחמות אגו אישיות מובילות את הבחירות ומועמדים מוכנים לסכן את הסיכוי להצלת העיר מהשלטון הרע הקיים, לרוץ בפיצול כוחות ולהלחם  אחד בשני.  גם כיום עדין לא מאוחר וצריכה לצאת קריאה מהציבור בכלל והתומכים בפרט, לכול מי שהצהיר על  רצונו להתמודד לראשות העיר, לאחד את השורות ולצאת למאבק להחלפת השלטון יחד תוך בחירת המנהיג בדרך של סקרים חיצוניים ולאחר קביעת זהותו, כולם יעמדו מאוחדים אחריו. כי המטרה היא החשובה !!!!!!!! הלוואי שיתעוררו שכן אין הזדמנות שניה.  כוחנו הוא באחדותינו.",2018,Ashdod,TRUE,TRUE,
Eli Lachmani,31/05/2018 22:22,התרגיל המסריח של לסרי. מכיוון שלסרי לא מסתדר עם הצעות לסדר שלי ושל חברי האופוזיציה הוא עושה תרגיל מסריח וכבר ישיבה שניה ששולח את יהודה פרנקל מסיעתו להעלות הצעות לסדר על מנת שהצעות לסדר שלנו ידחו עוד ועוד ולא יועלו לדיון במועצה.  לא היה תקדים שחבר הנהלת העיר משתמש בצורה כול כך בוטה ומביישת בדרך של גניבת זכות האופזיציה להעלות הצעות לסדר וכך  גם בישיבה הקודמת וגם בישיבה זו הועלו 4 הצעות לסדר מטעמו. הרי הוא לא צריך כלי זה ויכול כחבר הנהלת העיר  לעלות זאת כנושא לסדר יום מבלי לגנוב את הכלי היחיד שלנו כחברי האופוזיציה לדון בנושאים שחשובים לעיר.  לסרי במנהגו הבזוי והמבזה עושה הכול בכדי לסתום לנו את הפה. לא ילך לך לסרי! בושה וחרפה שכך מתנהג מי שנמצא בשלטון בעיר בישראל. מתבייש בך ובחברך מר יהודה פרנקל שנותן ידו למעל !! אין בושה!,2018,Ashdod,TRUE,TRUE,
Eli Lachmani,25/05/2018 07:54,"זה מה שקרה בשנות שלטונו של ד""ר לסרי (כתבה מתוך עיתונות מקומית) ומה העסקנים החרדים רוצים בתמורה לתמיכה בלסרי? שליטה וכפייה חרדית בכול רחבי העיר! כדאי שהציבור הציוני-מסורתי-חילוני יתעורר נגד הכפייה החרדית !!!!  הם התחילו בכך שלסרי נותן להם לבנות כוללים במקום מוסדות ציבור בכול רובעי העיר: הסיטי, יב, יג, טו, יא, יז, ד, ה, אזורי התעשיה ועוד ועוד.....",2018,Ashdod,TRUE,TRUE,
Eli Lachmani,17/05/2018 13:21,"לסרי והעסקנים החרדים נגד פיתוח המרינה.  אתמול בישיבת מועצה העלתי הצעה שסוף סוף עירית אשדוד תקח לאחריותה את המרינה באשדוד באופן ישיר או דרך חברת התיירות שלה, על מנת שבאמת תהייה ראויה להקרא מרינה.  ראש העיר לסרי , גבי כנפו, יהודה פרנקל והעסקנים החרדים התנגדו!!!  לא יאומן!!!  עצוב להווכח עד  כמה טובת  תושבי  העיר רחוקה מהם. בושה!!",2018,Ashdod,TRUE,TRUE,
Eli Lachmani,16/05/2018 20:45,שוב פעם מחליטים בעיריה להגדיל את הפרוייקט הכושל והמיותר של re  way . תראו מה עשה ראש עירית באר שבע באותו תקציב לאותו נושא של פיתוח התחבורה הקצאה אותו רק למחשוב מערכת התחבורה הציבורית מבלי לפגוע כלל התושבים ובתנועה. חבל באשדוד יש הנהגת חלם שבחרה לפגוע התושבים ובנוחות התנועה הציבורית שהייתה בעיר.,2018,Ashdod,TRUE,TRUE,
